Title,Section,Ingredients,Instruction,Variations,Nutrition Information
Mongetes estofades amb orella i morro,Verdures i altres hortalisses,"300 g de mongetes seques, remullades.
200 g d’orella tallada a trossos.
200 g de morro tallat a trossos.
Un tros de cansalada tallat a trossos.
1 cabeça d’alls.
1 ceba.
Un manat fet amb farigola, llorer, porro, pastanaga i canyella.
Sal.
Aigua.","Poseu-ho, tot en fred, en una olla: les mongetes, l’orella, el morro, el tros de cansalada, la ceba, la cabeça d’alls, el manat, i cobriu-ho amb aigua.
Deixeu-ho coure a foc suau, tot sacsejant l’olla de tant en tant.	
Saleu-ho al final.","Es pot fer amb mongetes vermelles.
S’hi poden clavar uns claus d’olor a la ceba. 
S’hi pot fer un sofregit al començament.
Al sofregit s’hi pot afegir pebrot verd i pebrot vermell.
Es pot bullir el morro a part, fregir-lo i afegir-lo després a les mongetes.
A vegades se substitueix el morro o l’orella per llonganissa, que s’afegeix a l’olla en l’últim moment.
Es pot substituir el morro i l’orella per xoriç.
Igualment es pot substituir el morro i l’orella per bacallà, que s’afegeix en l’últim moment.
S’hi pot afegir ou dur i carxofa.
S’hi pot afegir una picada d’all i julivert al final.","{'Calci (mg)': {'Per ració': '243', 'QDR': '800'}, 'Fòsfor (mg)': {'Per ració': '304', 'QDR': '800'}, 'Vitamina B12 (µg)': {'Per ració': '0,8', 'QDR': '1'}, 'Vitamina A (µg)': {'Per ració': '303', 'QDR': '800'}, 'Vitamina D (µg)': {'Per ració': '1,5', 'QDR': '5'}}"
Escarola amb Romesco,Amanides i plats freds,2 escaroles.  Salsa de romesco.,Barregeu el romesco amb l’escarola i serviu-ho.,"S’hi poden afegir mongetes bullides. S’hi pot afegir bacallà esqueixat.
	Es pot deixar el romesco amb l’escarola 2 hores en maceració, quedaran una mica més gustós però l’escarola es marcirà.","{'Calci (mg)': {'Per ració': '243', 'QDR': '800'}, 'Fòsfor (mg)': {'Per ració': '304', 'QDR': '800'}, 'Vitamina B12 (µg)': {'Per ració': '0,8', 'QDR': '1'}, 'Vitamina A (µg)': {'Per ració': '303', 'QDR': '800'}, 'Vitamina D (µg)': {'Per ració': '1,5', 'QDR': '5'}}"
Crema catalana,Postres i dolços,,Vegeu Crema de Sant Josep,,"{'Energia (kcal)': {'Per ració': '353', '%QDO': '17,65%'}, 'Proteïnes (g)': {'Per ració': '9,7', '%QDO': '19,40%'}, 'Greix total (g)': {'Per ració': '14,5', '%QDO': '20,71%'}, 'Hidrats de Carboni totals (g)': {'Per ració': '45,5', '%QDO': '16,85%'}, 'Fibra dietètica (g)': {'Per ració': '0,62', '%QDO': '2,07%'}, 'AGS (g)': {'Per ració': '6,2', '%QDO': '31,00%'}, 'AGM (g)': {'Per ració': '5,2', '%QDO': ''}, 'AGP (g)': {'Per ració': '1,7', '%QDO': ''}, 'Colesterol (mg)': {'Per ració': '341', '%QDO': '113,67%'}, 'Calci (mg)': {'Per ració': '243', 'QDR': '800'}, 'Fòsfor (mg)': {'Per ració': '304', 'QDR': '800'}, 'Vitamina B12 (µg)': {'Per ració': '0,8', 'QDR': '1'}, 'Vitamina A (µg)': {'Per ració': '303', 'QDR': '800'}, 'Vitamina D (µg)': {'Per ració': '1,5', 'QDR': '5'}}"
Tomàquets farcits,Verdures i altres hortalisses,"4 tomàquets grans.
200 g de carn de porc picada.
Pa remullat amb llet.
Pa ratllat.
2 grans d’all.
Julivert.
1 ou.
Canyella en pols.
Sal.
Pebre.
Oli.","Talleu els tomàquets per la meitat.
Feu una barreja amb la carn, l’all i el julivert trinxats, la molla de pa, l’ou, un polsim de canyella, sal i pebre.
Farciu els tomàquets amb aquesta barreja, escampeu-hi pa ratllat per sobre i poseu-los al forn en una plata untada amb oli fins que estiguin cuits.","Es pot fer servir carn rostida o saltada.
Es pot fer amb altres tipus de carn.
Es poden regar els pebrots amb suc de rostit.
Aquest farcit es pot fer amb pebrots (Pebrots farcits) i cebes.","{'Calci (mg)': {'Per ració': '243', 'QDR': '800'}, 'Fòsfor (mg)': {'Per ració': '304', 'QDR': '800'}, 'Vitamina B12 (µg)': {'Per ració': '0,8', 'QDR': '1'}, 'Vitamina A (µg)': {'Per ració': '303', 'QDR': '800'}, 'Vitamina D (µg)': {'Per ració': '1,5', 'QDR': '5'}}"
Cargols amb cabra de mar,Cargols,"1 ½ kg de cargols.
2 cabres de mar.
2 cebes.
2 grans d’all.
2 tomàquets.
1 got de vi blanc.
Llorer.
Oli.
Sal.
Aigua.

Per fer la picada:
Julivert.
2 grans d’all.","Bulliu els cargols (vegeu cargols a la cassola).
En una cassola fregiu les cabres de mar trossejades i retireu-les.
En el mateix oli feu un sofregit amb la ceba, els alls, el llorer i els tomàquets.
Afegiu-hi la cranca i feu-hi la reducció del vi
Afegiu-hi els cargols, cobriu-ho amb aigua i deixeu-ho coure tot junt una estona.
Tireu-hi la picada a l’últim moment.","S’hi pot afegir una presa de xocolata a la picada.
S’hi pot afegir un allioli negat.","{'Calci (mg)': {'Per ració': '243', 'QDR': '800'}, 'Fòsfor (mg)': {'Per ració': '304', 'QDR': '800'}, 'Vitamina B12 (µg)': {'Per ració': '0,8', 'QDR': '1'}, 'Vitamina A (µg)': {'Per ració': '303', 'QDR': '800'}, 'Vitamina D (µg)': {'Per ració': '1,5', 'QDR': '5'}}"
Baldana amb samfaina,Carns,"8 baldanes individuals.
Samfaina.
Oli.","En una cassola fregiu les baldanes.
Afegiu-hi la samfaina i deixeu que cogui a foc lent tot junt una estona.",Es poden afegir olives verdes a la samfaina.,"{'Calci (mg)': {'Per ració': '243', 'QDR': '800'}, 'Fòsfor (mg)': {'Per ració': '304', 'QDR': '800'}, 'Vitamina B12 (µg)': {'Per ració': '0,8', 'QDR': '1'}, 'Vitamina A (µg)': {'Per ració': '303', 'QDR': '800'}, 'Vitamina D (µg)': {'Per ració': '1,5', 'QDR': '5'}}"
Pèsols ofegats,Verdures i altres hortalisses,"1 kg de pèsols desgranats

	2 cebes tendres

	Sal / Aigua","Estofeu la ceba a foc suau en una cassola amb una mica d’oli fins que es comenci a estovar.

	Afegiu-hi els pèsols i tapeu la cassola amb un plat amb aigua.

	Deixeu-ho a foc lent fins que els pèsols estiguin cuits, tot sacsejant de tant en tant la cassola.","Es pot fer amb ceba seca en comptes de tendra.

	Es poden afegir unes fulles d’enciam tallades a la juliana al moment de posar els pésols a la cassola.

	Després d’estofar la ceba s’hi pot afegir cansalada o pernil tallats a daus, o salsitxes.

	També s’hi pot afegir una mica de sucre.

	Una mica abans que els pèsols estiguin cuits s’hi pot posar botifarra negra o blanca, o bull.

	S’hi pot posar un tall de sobrassada.

	S’hi pot afegir unes carreretes al final de la cocció, saltades prèviament amb all i julivert.

	S’hi pot posar una picada d’ametlla, alls i galetes al final.","{'Calci (mg)': {'Per ració': '243', 'QDR': '800'}, 'Fòsfor (mg)': {'Per ració': '304', 'QDR': '800'}, 'Vitamina B12 (µg)': {'Per ració': '0,8', 'QDR': '1'}, 'Vitamina A (µg)': {'Per ració': '303', 'QDR': '800'}, 'Vitamina D (µg)': {'Per ració': '1,5', 'QDR': '5'}}"
Brandada de bacallà,Peixos i mariscs,"400 g de bacallà dessalat.
10 cl de llet.
30 cl d’oli.
2 alls sencers.
1 patata.
Sal.
Llorer.","Fregiu lleugerament els alls amb l’oli i coleu-lo.
Escaldeu el bacallà i traieu-ne la pell i les espines.
A la mateixa aigua bulliu-hi la patata i retireu-la.
Poseu el bacallà i la patata en una batedora elèctrica i aneu tirant-hi a poc a poc l’oli i la llet calenta.
Emulsioneu-ho tot plegat fins lligar-ho com si fos una maionesa.","Es pot fer sense patata.
Es pot fer amb crema de llet en lloc de llet.","{'Calci (mg)': {'Per ració': '243', 'QDR': '800'}, 'Fòsfor (mg)': {'Per ració': '304', 'QDR': '800'}, 'Vitamina B12 (µg)': {'Per ració': '0,8', 'QDR': '1'}, 'Vitamina A (µg)': {'Per ració': '303', 'QDR': '800'}, 'Vitamina D (µg)': {'Per ració': '1,5', 'QDR': '5'}}"
Anguila xapada amb fesols,Peixos i mariscs,"800 g d’anguila xapada

	400 g de fesols (mongetes bullides)

	2 tomàquets madurs

	1 ceba

	1 fulla de llorer

	1 cullerada de farina

	1 copa de vi blanc

	Brou de bullir les mongetes

	Aigua

	Oli
Per fer la picada:

	2 grans d’all

	Julivert

	Un polsim de canyella","Feu un sofregit amb l’oli, la ceba, els tomàquets trinxats i la fulla de llorer.

	Afegiu-hi la farina i remeneu-ho; després hi aboqueu la copa de vi blanc i ho deixeu reduir.

	Mulleu-ho amb el brou de bullir les mongetes i aigua si fa falta; quan arrenqui el bull, afegiu-hi l’anguila trossejada.

	Quan falti poc per acabar la cocció, poseu-hi les mongetes i la picada deixatada amb el brou, i deixeu-ho una estona més.
Altres noms

	Xapadillo d’anguila amb fesols","Si es vol picant, s’hi afegeix un bitxo o pesteta.

	Es pot fer amb tenca en comptes d’anguila.","{'Calci (mg)': {'Per ració': '243', 'QDR': '800'}, 'Fòsfor (mg)': {'Per ració': '304', 'QDR': '800'}, 'Vitamina B12 (µg)': {'Per ració': '0,8', 'QDR': '1'}, 'Vitamina A (µg)': {'Per ració': '303', 'QDR': '800'}, 'Vitamina D (µg)': {'Per ració': '1,5', 'QDR': '5'}}"
Farinetes,"Sopes, escudelles, brous, farientes i cremes","200 g de farina de blat de moro torrada.
4 talls de cansalada.
Oli o llard.
Sal.
Pebre.
1 l d’aigua.","Poseu l’aigua a bullir i abans que arrenqui el bull afegiu-hi la farina, remeneu sense parar i deixeu-ho coure uns 20 minuts.
Poseu-hi sal i pebre.
Fregiu els talls de cansalada i serviu-los amb les farinetes.","La farina pot ser de blat.
Es pot fer amb farina sense torrar.
Es pot fer amb el brou de la matança del porc o un altre brou en comptes d’aigua.
Les farinetes es poden fer espesses, deixar-les refredar, tallar-les i passar-les per la paella amb el suc de la rosta.","{'Calci (mg)': {'Per ració': '243', 'QDR': '800'}, 'Fòsfor (mg)': {'Per ració': '304', 'QDR': '800'}, 'Vitamina B12 (µg)': {'Per ració': '0,8', 'QDR': '1'}, 'Vitamina A (µg)': {'Per ració': '303', 'QDR': '800'}, 'Vitamina D (µg)': {'Per ració': '1,5', 'QDR': '5'}}"
Pollastre a la manresaneta,Carns,"Per a 6 persones.
1 pollastre de pagès trossejat.
100 g de pernil tallat petit.
100 g d’olives sense pinyol.
1 ceba trinxada.
2 tomàquets pelats i trinxats. 
Julivert.
1 cullerada de farina.
Oli.
Sal.
Pebre.
Aigua o brou.
Per fer la picada:
Un grapadet d’ametlles i avellanes torrades.
1 gra d’all.
Mitja copa de vi ranci.","En una paella enrossiu el pollastre salpebrat amb una mica d’oli, inclosos la cresta i el fetge, i passeu-lo a una cassola.
En la mateixa paella saltegeu les olives i afegiu-les al pollastre.
També a la mateixa paella fregiu el pernil, sofregiu la ceba, el tomàquet i el julivert, i afegiu-ho tot al pollastre.
Escampeu la farina pel damunt de la cassola, remeneu i deixeu-ho coure a poc a poc fins que el pollastre quedi ben tendre; afegiu-hi una mica d’aigua o brou si veieu que queda massa sec.
Una mica abans d’acabar afegiu-hi la picada deixatada amb el vi ranci.",Es pot acompanyar de bunyols d’albergínia.,"{'Calci (mg)': {'Per ració': '243', 'QDR': '800'}, 'Fòsfor (mg)': {'Per ració': '304', 'QDR': '800'}, 'Vitamina B12 (µg)': {'Per ració': '0,8', 'QDR': '1'}, 'Vitamina A (µg)': {'Per ració': '303', 'QDR': '800'}, 'Vitamina D (µg)': {'Per ració': '1,5', 'QDR': '5'}}"
Prims de corder farcits,Carns,Uns prims de corder. 1 pebrot vermell tallat a tires. 2 grans d’all. 2 ous durs tallats a trossos grans. 1 llesca de cansalada tallada a tires. 1 copa de vi ranci. Brou de gallina. 2 cebes trinxades. 1 porro tallat a rodelles. 2 tomàquets trinxats. Sal. Pebre. Julivert.,"Netegeu els prims de corder i esteneu-los sobre un taulell.
	Poseu-hi al damunt el pebrot, l’all trinxat, la cansalada, el julivert, l’ou dur, sal i pebre.
	Enrotlleu i lligueu els prims com un tall rodó.
	Poseu-ho en una cassola i coeu-ho fins que quedi ros.
	Tot seguit afegiu-hi la ceba, el porro, el tomàquet i deixeu-ho sofregir.
	Tireu-hi el vi ranci, deixeu-lo reduir i mulleu amb el brou de gallina.
	Tapeu-ho i deixeu-ho coure durant 1 hora a foc lent.
	Escorreu, deixeu-ho refredar i talleu-ho a rodanxes.
	Serviu els talls calents amb la salsa colada pel damunt.","Es poden fer estofats en comptes de guisats.
	Es poden lligar amb mantellina de porc.","{'Calci (mg)': {'Per ració': '243', 'QDR': '800'}, 'Fòsfor (mg)': {'Per ració': '304', 'QDR': '800'}, 'Vitamina B12 (µg)': {'Per ració': '0,8', 'QDR': '1'}, 'Vitamina A (µg)': {'Per ració': '303', 'QDR': '800'}, 'Vitamina D (µg)': {'Per ració': '1,5', 'QDR': '5'}}"
Peus de cabrit amb pinyons i pèsols,Carns,"16 peus de cabrit.
200 g de pèsols bullits.
25 g de pinyons.
1 ceba trinxada.
3 tomàquets madurs ratllats.
Farina.
2 ous.
Sal.
Oli.
Aigua.
Per fer la picada:
2 grans d’all.
Un grapadet d’ametlles torrades.
1 copa de vi ranci.","Bulliu els peus amb aigua i sal, escorreu-los, enfarineu-los, passeu-los per ou batut, fregiu-los i reserveu-los.
Feu un sofregit amb la ceba i els tomàquets en una cassola amb oli.
Quan sigui concentrat afegiu-hi els peus, els pinyons i una mica de brou de la cocció dels peus i ho deixeu coure a poc a poc.
En l’últim moment afegiu-hi els pèsols i la picada deixatada amb el vi ranci.",Es poden acompanyar de qualsevol verdura.,"{'Calci (mg)': {'Per ració': '243', 'QDR': '800'}, 'Fòsfor (mg)': {'Per ració': '304', 'QDR': '800'}, 'Vitamina B12 (µg)': {'Per ració': '0,8', 'QDR': '1'}, 'Vitamina A (µg)': {'Per ració': '303', 'QDR': '800'}, 'Vitamina D (µg)': {'Per ració': '1,5', 'QDR': '5'}}"
Barretes,Postres i dolços,,Vegeu Capsetes,,"{'Calci (mg)': {'Per ració': '243', 'QDR': '800'}, 'Fòsfor (mg)': {'Per ració': '304', 'QDR': '800'}, 'Vitamina B12 (µg)': {'Per ració': '0,8', 'QDR': '1'}, 'Vitamina A (µg)': {'Per ració': '303', 'QDR': '800'}, 'Vitamina D (µg)': {'Per ració': '1,5', 'QDR': '5'}}"
Pollastre farcit,Carns,"1 pollastre.
300 g de carn magra de porc.
300 g de salsitxes.
100 g de pinyons.
150 g de prunes seques.
100 g d’orellanes.
2 cebes.
1 cabeça d’alls.
2 tomàquets madurs.
1 copa de brandi.
2 copes de vi blanc.
1 branca de canyella.
2 fulles de llorer.
Sal.
Pebre.
Oli.
Llard.","Netegeu el pollastre i desosseu-lo per l’espatlla per retirar la carcanada.
Salpebreu-lo per dins i per fora.
En una paella amb oli, fregiu la carn magra i les salsitxes tallades a daus.
Barregeu les carns cuites i els fruits secs.
Farciu el pollastre amb aquesta barreja i cosiu-lo per l’espatlla per donar-li la forma original.
Enrossiu el pollastre per tots els costats en una cassola prou gran i fonda i de fons gruixut, amb oli i llard. 
Poseu-hi les cebes tallades a quarts, els alls sencers i els tomàquets a quarts.
Un cop tot hagi pres color, afegiu-hi el llorer, la canyella, el brandi i el vi. 
Tapeu-ho i deixeu-ho coure un parell d’hores, tot regant, de tant en quan, el pollastre amb salsa de la cocció.
Serviu-lo sencer amb la salsa a part.","Es pot afegir en el farciment una poma, tallada o sencera, que tapi l’orifici de darrere del pollastre.
Es pot afegir tòfona en el farciment.","{'Calci (mg)': {'Per ració': '243', 'QDR': '800'}, 'Fòsfor (mg)': {'Per ració': '304', 'QDR': '800'}, 'Vitamina B12 (µg)': {'Per ració': '0,8', 'QDR': '1'}, 'Vitamina A (µg)': {'Per ració': '303', 'QDR': '800'}, 'Vitamina D (µg)': {'Per ració': '1,5', 'QDR': '5'}}"
Pollastre amb prunes i pinyons,Carns,"Per a 6 persones


	1 pollastre de pagès trossejat

	250 g de prunes seques

	100 g de pinyons

	2 cebes trinxades

	1 cabeça d’alls

	1 branca de canyella

	1 copa de brandi

	1 fulla de llorer

	Farigola

	Oli

	Llard

	Sal

	Pebre

	Aigua","Salpebreu el pollastre i enrossiu-lo en una cassola amb oli, llard i la branca de canyella.

	Afegiu-hi les cebes, la fulla de llorer i la cabeça d’alls, i deixeu que es vagi rossejant tot junt.

	Tireu-hi el brandi, flamegeu, deixeu-lo reduir i poseu-hi la farigola.

	Tapeu la cassola i deixeu-ho coure a foc suau, tot afegint-hi miques d’aigua de tant en tant.

	Quinze minuts abans d’apagar el foc, afegiu-hi les prunes remullades i els pinyons.","Es pot substituir el brandi per garnatxa, vermut o vi blanc.

	Es pot fer només amb prunes (Pollastre amb prunes).

	Es poden substituir les prunes i els pinyons per figues (Pollastre amb figues).

	Podeu posar orenga en comptes de farigola, o a més a més.

	Es pot fer amb altres fruits secs, com ara orellanes.","{'Agua (g)': {'Per una ració': '172', '%QDO': ''}, 'Energía (kcal)': {'Per una ració': '382', '%QDO': '19,10%'}, 'Proteínas (g)': {'Per una ració': '26,9', '%QDO': '53,80%'}, 'Grasa total (g)': {'Per una ració': '22,6', '%QDO': '32,29%'}, 'Hidratos de carbono totales (g)': {'Per una ració': '9,2', '%QDO': '3,41%'}, 'Fibra dietética (g)': {'Per una ració': '2,1', '%QDO': '7%'}, 'Grasa saturada (AGS) (g)': {'Per una ració': '4,9', '%QDO': '24,50%'}, 'Grasa monoinsaturada (AGM) (g)': {'Per una ració': '11,2', '%QDO': ''}, 'Grasa poliinsaturada (AGP) (g)': {'Per una ració': '4,2', '%QDO': ''}, 'Colesterol (mg)': {'Per una ració': '127', '%QDO': '42,33%'}, 'Niacina (mg)': {'Per una ració': '12,48', 'QDR': '18'}, 'Fòsfor (mg)': {'Per una ració': '249', 'QDR': '800'}}"
Ventre de porc amb pèsols,Carns,,Vegeu Ventre de porc amb mongetes.,,"{'Niacina (mg)': {'Per una ració': '12,48', 'QDR': '18'}, 'Fòsfor (mg)': {'Per una ració': '249', 'QDR': '800'}}"
Congre amb ceba,Peixos i mariscs,"2 kg de congre

	1,5 kg de ceba

	1/2 bitxo

	Aigua / Oli / Sal","Talleu el congre a rodanxes de tres dits d’ample i saleu-lo.

	Enrossiu la ceba tallada fina en una cassola amb oli calent. Quan la ceba estigui cuita, retireu-la.

	Poseu a la cassola el congre, el bitxo i l’aigua i, quan arrenqui el bull, tireu-hi la ceba per damunt i deixeu-ho coure uns 5 minuts.

	Rectifiqueu de sal i deixeu-ho un parell de minuts més.","Es pot fer amb seitons (Seitons amb ceba)

	Es pot fer amb anguila (Anguila amb ceba)","{'Niacina (mg)': {'Per una ració': '12,48', 'QDR': '18'}, 'Fòsfor (mg)': {'Per una ració': '249', 'QDR': '800'}}"
